longitude,latitude,house_id_short
36.321836,32.30309,D1-B1-H1
36.321766,32.303155,D1-B1-H2
36.321698,32.303114,D1-B1-H3
36.321649,32.303136,D1-B1-H4
36.321594,32.303125,D1-B1-H5
36.321614,32.303216,D1-B1-H6
36.321532,32.303196,D1-B1-H7
36.321441,32.303201,D1-B1-H8
36.321369,32.303236,D1-B1-H9
36.321316,32.303315,D1-B1-H10
36.321295,32.303197,D1-B1-H12
36.321182,32.303323,D1-B1-H13
36.321099,32.303273,D1-B1-H14
36.321069,32.303434,D1-B1-H15
36.321,32.303353,D1-B1-H16
36.320978,32.303285,D1-B1-H17
36.320908,32.303371,D1-B1-H18
36.320729,32.303554,D1-B1-H19
36.320724,32.303438,D1-B1-H20
36.320646,32.303382,D1-B1-H21
36.32059,32.303406,D1-B1-H22
36.320517,32.303426,D1-B1-H23
36.320535,32.303489,D1-B1-H24
36.320557,32.303552,D1-B1-H25
36.320553,32.303633,D1-B1-H26
36.320462,32.30367,D1-B1-H27
36.320385,32.303551,D1-B1-H28
36.320263,32.303518,D1-B1-H29
36.320323,32.303624,D1-B1-H30
36.320167,32.303636,D1-B1-H31
36.320132,32.303582,D1-B1-H32
36.320067,32.303592,D1-B1-H33
36.320001,32.303555,D1-B1-H34
36.319932,32.303583,D1-B1-H35
36.319917,32.303747,D1-B1-H36
36.319808,32.303721,D1-B1-H37
36.319808,32.303638,D1-B1-H38
36.319731,32.303667,D1-B1-H39
36.319673,32.303801,D1-B1-H40
36.31961,32.303898,D1-B1-H41
36.319545,32.303767,D1-B1-H42
36.319456,32.303753,D1-B1-H43
36.31936,32.303756,D1-B1-H44
36.319422,32.303848,D1-B1-H45
36.319356,32.303862,D1-B1-H46
36.319365,32.303987,D1-B1-H47
36.319231,32.30392,D1-B1-H48
36.31927,32.303786,D1-B1-H49
36.319176,32.303811,D1-B1-H50
36.319118,32.303824,D1-B1-H51
36.319038,32.303839,D1-B1-H52
36.319083,32.303948,D1-B1-H53
36.318955,32.303952,D1-B1-H54
36.321604,32.302986,D1-B2-H1
36.321517,32.303004,D1-B2-H2
36.321402,32.303042,D1-B2-H3
36.321402,32.303042,D1-B2-H3
36.321284,32.303063,D1-B2-H4
36.3212,32.303077,D1-B2-H5
36.321073,32.303103,D1-B2-H6
36.321016,32.30315,D1-B2-H7
36.320942,32.30318,D1-B2-H8
36.32086,32.303197,D1-B2-H9
36.320794,32.303215,D1-B2-H10
36.320705,32.303223,D1-B2-H11
36.320561,32.303258,D1-B2-H12
36.320471,32.303275,D1-B2-H13
36.320416,32.303295,D1-B2-H14
36.320338,32.303309,D1-B2-H15
36.320171,32.303318,D1-B2-H16
36.320114,32.303345,D1-B2-H17
36.320041,32.303356,D1-B2-H18
36.31996,32.303373,D1-B2-H19
36.319828,32.303392,D1-B2-H20
36.319759,32.3034,D1-B2-H21
36.319665,32.303436,D1-B2-H22
36.319521,32.303458,D1-B2-H23
36.319296,32.303534,D1-B2-H24
36.319152,32.303527,D1-B2-H25
36.319075,32.303541,D1-B2-H26
36.319011,32.303516,D1-B2-H27
36.318948,32.303565,D1-B2-H28
36.318948,32.303565,D1-B2-H28-1
36.318802,32.303583,D1-B2-H29
36.31864,32.303605,D1-B2-H30
36.318451,32.303637,D1-B2-H31
36.318299,32.303602,D1-B2-H32
36.318605,32.303535,D1-B2-H33
36.318754,32.303493,D1-B2-H34
36.319267,32.30346,D1-B2-H36
36.319237,32.3034,D1-B2-H37
36.319396,32.303399,D1-B2-H38
36.319511,32.303372,D1-B2-H39
36.319644,32.303335,D1-B2-H40
36.319748,32.303315,D1-B2-H41
36.319841,32.303294,D1-B2-H42
36.31994,32.303273,D1-B2-H43
36.320108,32.303267,D1-B2-H44
36.320208,32.303218,D1-B2-H45
36.320331,32.303208,D1-B2-H46
36.320412,32.30318,D1-B2-H47
36.320473,32.3032,D1-B2-H48
36.320534,32.303172,D1-B2-H49
36.320621,32.303158,D1-B2-H50
36.320723,32.303136,D1-B2-H51
36.320859,32.303088,D1-B2-H53
36.320948,32.303087,D1-B2-H54
36.321074,32.303041,D1-B2-H55
36.321105,32.302995,D1-B2-H56
36.32124,32.302975,D1-B2-H57
36.321376,32.30294,D1-B2-H58
36.321641,32.30286,D1-B2-H60
36.321374,32.302477,D1-B3-H1
36.321291,32.302534,D1-B3-H2
36.321188,32.302546,D1-B3-H3
36.321122,32.302584,D1-B3-H4
36.320988,32.302605,D1-B3-H5
36.320937,32.302645,D1-B3-H6
36.320881,32.302672,D1-B3-H7
36.320614,32.302723,D1-B3-H8
36.320614,32.302723,D1-B3-H8
36.32051,32.302796,D1-B3-H9
36.320375,32.302871,D1-B3-H10
36.320298,32.302883,D1-B3-H11
36.320076,32.302974,D1-B3-H12
36.319965,32.302995,D1-B3-H13
36.319875,32.303031,D1-B3-H14
36.319665,32.303046,D1-B3-H15
36.319598,32.303137,D1-B3-H16
36.319369,32.303223,D1-B3-H17
36.319282,32.303254,D1-B3-H18
36.319226,32.30328,D1-B3-H19
36.319122,32.303318,D1-B3-H20
36.318918,32.303396,D1-B3-H21
36.318918,32.303396,D1-B3-H21
36.318719,32.303453,D1-B3-H22
36.318626,32.303486,D1-B3-H23
36.31854,32.303533,D1-B3-H24
36.318406,32.30358,D1-B3-H25
36.318266,32.303621,D1-B3-H26
36.318172,32.303631,D1-B3-H27
36.318081,32.303679,D1-B3-H28
36.318245,32.303553,D1-B3-H29
36.318371,32.303516,D1-B3-H30
36.31856,32.303434,D1-B3-H31
36.318647,32.303397,D1-B3-H32
36.3188,32.303344,D1-B3-H33
36.319,32.303278,D1-B3-H34
,,D1-B3-H35
36.319231,32.303183,D1-B3-H36
36.319316,32.303154,D1-B3-H37
36.319416,32.303113,D1-B3-H38
36.319528,32.303072,D1-B3-H39
36.319798,32.302947,D1-B3-H40
36.319883,32.302922,D1-B3-H41
36.319996,32.302905,D1-B3-H42
36.320087,32.302884,D1-B3-H43
36.320159,32.302807,D1-B3-H44
